lat,lon,week,adult.density,spp,year
37.005,-6.533783,20,4.2,Halimium halimifolium,2023
37.005,-6.533783,20,0.4,Lavandula stoechas,2023
37.013123,-6.533783,17,3.6,Halimium halimifolium,2024
37.013123,-6.533783,17,2.2,Lavandula stoechas,2024
37.013125,-6.527607,20,13.2,Halimium halimifolium,2023
37.013125,-6.527607,20,2.8,Lavandula stoechas,2023
37.013125,-6.527607,17,13,Halimium halimifolium,2024
37.013125,-6.527607,17,4,Lavandula stoechas,2024
37.013079,-6.533007,20,0,Halimium halimifolium,2023
37.013079,-6.533007,20,0,Lavandula stoechas,2023
37.013079,-6.533007,17,0,Halimium halimifolium,2024
37.013079,-6.533007,17,0,Lavandula stoechas,2024
37.013081,-6.532301,20,3.2,Halimium halimifolium,2023
37.013081,-6.532301,20,0,Lavandula stoechas,2023
37.013081,-6.532301,17,1.6,Halimium halimifolium,2024
37.013081,-6.532301,17,0,Lavandula stoechas,2024
37.013165,-6.531667,20,2.6,Halimium halimifolium,2023
37.013165,-6.531667,20,0,Lavandula stoechas,2023
37.013165,-6.531667,17,0.6,Halimium halimifolium,2024
37.013165,-6.531667,17,0.2,Lavandula stoechas,2024
37.013168,-6.531,20,1.4,Halimium halimifolium,2023
37.013168,-6.531,20,0.8,Lavandula stoechas,2023
37.013168,-6.531,17,0.8,Halimium halimifolium,2024
37.013168,-6.531,17,0,Lavandula stoechas,2024
37.013149,-6.530335,20,0.2,Halimium halimifolium,2023
37.013149,-6.530335,20,0,Lavandula stoechas,2023
37.013149,-6.530335,17,0,Halimium halimifolium,2024
37.013149,-6.530335,17,0,Lavandula stoechas,2024
37.013143,-6.529673,20,15.2,Halimium halimifolium,2023
37.013143,-6.529673,20,0,Lavandula stoechas,2023
37.013143,-6.529673,17,9.6,Halimium halimifolium,2024
37.013143,-6.529673,17,0,Lavandula stoechas,2024
37.013148,-6.528973,20,14.2,Halimium halimifolium,2023
37.013148,-6.528973,20,0.4,Lavandula stoechas,2023
37.013148,-6.528973,17,12.2,Halimium halimifolium,2024
37.013148,-6.528973,17,0.6,Lavandula stoechas,2024
37.013128,-6.52822,20,15.6,Halimium halimifolium,2023
37.013128,-6.52822,20,1.2,Lavandula stoechas,2023
37.013128,-6.52822,17,11.4,Halimium halimifolium,2024
37.013128,-6.52822,17,2.6,Lavandula stoechas,2024
37.007814,-6.523015,20,6,Halimium halimifolium,2023
37.007814,-6.523015,20,6.6,Lavandula stoechas,2023
37.007814,-6.523015,17,4,Halimium halimifolium,2024
37.007814,-6.523015,17,8,Lavandula stoechas,2024
37.007816,-6.51695,20,9,Halimium halimifolium,2023
37.007816,-6.51695,20,7.8,Lavandula stoechas,2023
37.007816,-6.51695,17,6.6,Halimium halimifolium,2024
37.007816,-6.51695,17,8.6,Lavandula stoechas,2024
37.007795,-6.522343,20,12.2,Halimium halimifolium,2023
37.007795,-6.522343,20,5.2,Lavandula stoechas,2023
37.007795,-6.522343,17,14,Halimium halimifolium,2024
37.007795,-6.522343,17,6,Lavandula stoechas,2024
37.007829,-6.521668,20,5.4,Halimium halimifolium,2023
37.007829,-6.521668,20,3.6,Lavandula stoechas,2023
37.007829,-6.521668,17,4,Halimium halimifolium,2024
37.007829,-6.521668,17,4.4,Lavandula stoechas,2024
37.007775,-6.520995,20,4.6,Halimium halimifolium,2023
37.007775,-6.520995,20,5.4,Lavandula stoechas,2023
37.007775,-6.520995,17,2.4,Halimium halimifolium,2024
37.007775,-6.520995,17,9.8,Lavandula stoechas,2024
37.007832,-6.520319,20,12.8,Halimium halimifolium,2023
37.007832,-6.520319,20,2,Lavandula stoechas,2023
37.007832,-6.520319,17,8.4,Halimium halimifolium,2024
37.007832,-6.520319,17,4.4,Lavandula stoechas,2024
37.007843,-6.519651,20,10,Halimium halimifolium,2023
37.007843,-6.519651,20,11.2,Lavandula stoechas,2023
37.007843,-6.519651,17,7.2,Halimium halimifolium,2024
37.007843,-6.519651,17,9.8,Lavandula stoechas,2024
37.007798,-6.518936,20,4.2,Halimium halimifolium,2023
37.007798,-6.518936,20,7.6,Lavandula stoechas,2023
37.007798,-6.518936,17,4.6,Halimium halimifolium,2024
37.007798,-6.518936,17,7.8,Lavandula stoechas,2024
37.00779,-6.518284,20,8.6,Halimium halimifolium,2023
37.00779,-6.518284,20,5,Lavandula stoechas,2023
37.00779,-6.518284,17,7.4,Halimium halimifolium,2024
37.00779,-6.518284,17,5,Lavandula stoechas,2024
37.007798,-6.517582,20,11.2,Halimium halimifolium,2023
37.007798,-6.517582,20,4.6,Lavandula stoechas,2023
37.007798,-6.517582,17,6.6,Halimium halimifolium,2024
37.007798,-6.517582,17,8.6,Lavandula stoechas,2024
37.005996,-6.511592,20,9,Halimium halimifolium,2023
37.005996,-6.511592,20,3,Lavandula stoechas,2023
37.005996,-6.511592,17,8.2,Halimium halimifolium,2024
37.005996,-6.511592,17,4.8,Lavandula stoechas,2024
37.005845,-6.505625,20,6.2,Halimium halimifolium,2023
37.005845,-6.505625,20,0,Lavandula stoechas,2023
37.005845,-6.505625,17,5.4,Halimium halimifolium,2024
37.005845,-6.505625,17,0.4,Lavandula stoechas,2024
37.006033,-6.510935,20,0,Halimium halimifolium,2023
37.006033,-6.510935,20,0.4,Lavandula stoechas,2023
37.006033,-6.510935,17,0.2,Halimium halimifolium,2024
37.006033,-6.510935,17,0,Lavandula stoechas,2024
37.005994,-6.510242,20,1.8,Halimium halimifolium,2023
37.005994,-6.510242,20,0,Lavandula stoechas,2023
37.005994,-6.510242,17,1,Halimium halimifolium,2024
37.005994,-6.510242,17,0.2,Lavandula stoechas,2024
37.00597,-6.509608,20,0,Halimium halimifolium,2023
37.00597,-6.509608,20,0,Lavandula stoechas,2023
37.00597,-6.509608,17,0,Halimium halimifolium,2024
37.00597,-6.509608,17,0.2,Lavandula stoechas,2024
37.005992,-6.508856,20,0,Halimium halimifolium,2023
37.005992,-6.508856,20,0,Lavandula stoechas,2023
37.005992,-6.508856,17,0,Halimium halimifolium,2024
37.005992,-6.508856,17,0,Lavandula stoechas,2024
37.006005,-6.508231,20,3.6,Halimium halimifolium,2023
37.006005,-6.508231,20,4.4,Lavandula stoechas,2023
37.006005,-6.508231,17,2.4,Halimium halimifolium,2024
37.006005,-6.508231,17,4.6,Lavandula stoechas,2024
37.006009,-6.507557,20,1.6,Halimium halimifolium,2023
37.006009,-6.507557,20,0.4,Lavandula stoechas,2023
37.006009,-6.507557,17,3.4,Halimium halimifolium,2024
37.006009,-6.507557,17,0.4,Lavandula stoechas,2024
37.005912,-6.50691,20,2,Halimium halimifolium,2023
37.005912,-6.50691,20,0.4,Lavandula stoechas,2023
37.005912,-6.50691,17,2.2,Halimium halimifolium,2024
37.005912,-6.50691,17,0.2,Lavandula stoechas,2024
37.005857,-6.506296,20,7.6,Halimium halimifolium,2023
37.005857,-6.506296,20,0,Lavandula stoechas,2023
37.005857,-6.506296,17,7.2,Halimium halimifolium,2024
37.005857,-6.506296,17,1.2,Lavandula stoechas,2024
37.001703,-6.504514,20,2,Halimium halimifolium,2023
37.001703,-6.504514,20,0.2,Lavandula stoechas,2023
37.001703,-6.504514,17,0.8,Halimium halimifolium,2024
37.001703,-6.504514,17,2.8,Lavandula stoechas,2024
37.001702,-6.498435,20,6.8,Halimium halimifolium,2023
37.001702,-6.498435,20,8.8,Lavandula stoechas,2023
37.001702,-6.498435,17,5.6,Halimium halimifolium,2024
37.001702,-6.498435,17,12.6,Lavandula stoechas,2024
37.001733,-6.503849,20,0.8,Halimium halimifolium,2023
37.001733,-6.503849,20,5,Lavandula stoechas,2023
37.001733,-6.503849,17,0.5,Halimium halimifolium,2024
37.001733,-6.503849,17,4,Lavandula stoechas,2024
37.0017,-6.503164,20,2.8,Halimium halimifolium,2023
37.0017,-6.503164,20,4.4,Lavandula stoechas,2023
37.0017,-6.503164,17,2.4,Halimium halimifolium,2024
37.0017,-6.503164,17,6.6,Lavandula stoechas,2024
37.00173,-6.502485,20,0.4,Halimium halimifolium,2023
37.00173,-6.502485,20,6.4,Lavandula stoechas,2023
37.00173,-6.502485,17,2.4,Halimium halimifolium,2024
37.00173,-6.502485,17,11.6,Lavandula stoechas,2024
37.0017,-6.501803,20,0.2,Halimium halimifolium,2023
37.0017,-6.501803,20,0.4,Lavandula stoechas,2023
37.0017,-6.501803,17,3,Halimium halimifolium,2024
37.0017,-6.501803,17,3,Lavandula stoechas,2024
37.001704,-6.501134,20,0,Halimium halimifolium,2023
37.001704,-6.501134,20,0,Lavandula stoechas,2023
37.001704,-6.501134,17,7.6,Halimium halimifolium,2024
37.001704,-6.501134,17,0,Lavandula stoechas,2024
37.001985,-6.500458,20,0.4,Halimium halimifolium,2023
37.001985,-6.500458,20,7,Lavandula stoechas,2023
37.001985,-6.500458,17,1.6,Halimium halimifolium,2024
37.001985,-6.500458,17,4.4,Lavandula stoechas,2024
37.001713,-6.499778,20,1.2,Halimium halimifolium,2023
37.001713,-6.499778,20,9.2,Lavandula stoechas,2023
37.001713,-6.499778,17,0.6,Halimium halimifolium,2024
37.001713,-6.499778,17,11.8,Lavandula stoechas,2024
37.001708,-6.499118,20,7.2,Halimium halimifolium,2023
37.001708,-6.499118,20,13,Lavandula stoechas,2023
37.001708,-6.499118,17,7.8,Halimium halimifolium,2024
37.001708,-6.499118,17,22.8,Lavandula stoechas,2024
