"plot","ndvi","year","month","day"
"CM1",0.310778468847275,"1984","04","19"
"CM2",0.25475662946701,"1984","04","19"
"CM3",0.299222826957703,"1984","04","19"
"CM4",0.332279473543167,"1984","04","19"
"CM5",0.298617005348206,"1984","04","19"
"CM6",0.298552066087723,"1984","04","19"
"MM1",0.278970658779144,"1984","04","19"
"MM2",0.309965521097183,"1984","04","19"
"MM3",0.299328982830048,"1984","04","19"
"MM4",0.310915380716324,"1984","04","19"
"MM5",0.239984095096588,"1984","04","19"
"MM6",0.19359265267849,"1984","04","19"
"OM1",0.265208631753922,"1984","04","19"
"OM2",0.276872396469116,"1984","04","19"
"OM3",0.268296331167221,"1984","04","19"
"OM4",0.281844258308411,"1984","04","19"
"OM5",0.463952630758286,"1984","04","19"
"OM6",0.250672161579132,"1984","04","19"
"CM1",-0.0338455364108086,"1984","05","05"
"CM2",-0.0246623381972313,"1984","05","05"
"CM3",-0.0367070287466049,"1984","05","05"
"CM4",-0.0206363145262003,"1984","05","05"
"CM5",-0.0142244538292289,"1984","05","05"
"CM6",-0.032524835318327,"1984","05","05"
"MM1",-0.0273607671260834,"1984","05","05"
"MM2",-0.0208428017795086,"1984","05","05"
"MM3",-0.0207508355379105,"1984","05","05"
"MM4",-0.0272400341928005,"1984","05","05"
"MM5",-0.0142370061948895,"1984","05","05"
"MM6",-0.00754135986790061,"1984","05","05"
"OM1",-0.00242413650266826,"1984","05","05"
"OM2",-0.0016667100135237,"1984","05","05"
"OM3",-0.00201032613404095,"1984","05","05"
"OM4",-0.019584946334362,"1984","05","05"
"OM5",-0.000876732403412461,"1984","05","05"
"OM6",-0.0142244538292289,"1984","05","05"
"CM1",0.327598959207535,"1984","07","08"
"CM2",0.297432571649551,"1984","07","08"
"CM3",0.327323019504547,"1984","07","08"
"CM4",0.318521648645401,"1984","07","08"
"CM5",0.359020054340363,"1984","07","08"
"CM6",0.370171844959259,"1984","07","08"
"MM1",0.31970202922821,"1984","07","08"
"MM2",0.31194069981575,"1984","07","08"
"MM3",0.345705568790436,"1984","07","08"
"MM4",0.315153360366821,"1984","07","08"
"MM5",0.291009098291397,"1984","07","08"
"MM6",0.253334194421768,"1984","07","08"
"OM1",0.287566900253296,"1984","07","08"
"OM2",0.320730537176132,"1984","07","08"
"OM3",0.314303189516068,"1984","07","08"
"OM4",0.303301006555557,"1984","07","08"
"OM5",0.539063990116119,"1984","07","08"
"OM6",0.258429020643234,"1984","07","08"
"CM1",0.177283570170403,"1984","07","24"
"CM2",0.178332060575485,"1984","07","24"
"CM3",0.195847883820534,"1984","07","24"
"CM4",0.177283570170403,"1984","07","24"
"CM5",0.183008655905724,"1984","07","24"
"CM6",0.183008655905724,"1984","07","24"
"MM1",0.129724130034447,"1984","07","24"
"MM2",0.179260432720184,"1984","07","24"
"MM3",0.174313202500343,"1984","07","24"
"MM4",0.163494467735291,"1984","07","24"
"MM5",0.133500352501869,"1984","07","24"
"MM6",0.107167549431324,"1984","07","24"
"OM1",0.0914441049098969,"1984","07","24"
"OM2",0.226757198572159,"1984","07","24"
"OM3",0.136915683746338,"1984","07","24"
"OM4",0.171294584870338,"1984","07","24"
"OM5",0.277540981769562,"1984","07","24"
"OM6",0.159102395176888,"1984","07","24"
"CM1",0.295021593570709,"1984","09","10"
"CM2",0.289130538702011,"1984","09","10"
"CM3",0.304243803024292,"1984","09","10"
"CM4",0.294922918081284,"1984","09","10"
"CM5",0.314554661512375,"1984","09","10"
"CM6",0.367353439331055,"1984","09","10"
"MM1",0.300303846597672,"1984","09","10"
"MM2",0.33379340171814,"1984","09","10"
"MM3",0.351494282484055,"1984","09","10"
