"plot","ndvi","year","month","day"
"110",0.481878012418747,"1984","04","19"
"118",0.336192309856415,"1984","04","19"
"117",0.359902143478394,"1984","04","19"
"116",0.226036787033081,"1984","04","19"
"115",0.252962470054626,"1984","04","19"
"114",0.319340795278549,"1984","04","19"
"113",0.337503284215927,"1984","04","19"
"112",0.358131766319275,"1984","04","19"
"111",0.498869359493256,"1984","04","19"
"109",0.465680778026581,"1984","04","19"
"100",0.411960422992706,"1984","04","19"
"108",0.390015751123428,"1984","04","19"
"107",0.48237419128418,"1984","04","19"
"106",0.48237419128418,"1984","04","19"
"105",0.446038544178009,"1984","04","19"
"104",0.489608198404312,"1984","04","19"
"103",0.402891844511032,"1984","04","19"
"102",0.428698718547821,"1984","04","19"
"101",0.398803025484085,"1984","04","19"
"88",0.271095365285873,"1984","04","19"
"65",0.409086734056473,"1984","04","19"
"85",0.272353708744049,"1984","04","19"
"82",0.280986547470093,"1984","04","19"
"79",0.272353708744049,"1984","04","19"
"77",0.249143898487091,"1984","04","19"
"74",0.198653012514114,"1984","04","19"
"71",0.467586010694504,"1984","04","19"
"70",0.509555160999298,"1984","04","19"
"68",0.381273478269577,"1984","04","19"
"63",0.200377628207207,"1984","04","19"
"51",0.240282893180847,"1984","04","19"
"61",0.28114315867424,"1984","04","19"
"59",0.310971021652222,"1984","04","19"
"57",0.339821428060532,"1984","04","19"
"56",0.313637673854828,"1984","04","19"
"55",0.386299043893814,"1984","04","19"
"54",0.347438007593155,"1984","04","19"
"53",0.224007457494736,"1984","04","19"
"52",0.247292682528496,"1984","04","19"
"29",0.341479659080505,"1984","04","19"
"8",0.300048619508743,"1984","04","19"
"27",0.378354340791702,"1984","04","19"
"26",0.344200313091278,"1984","04","19"
"23",0.352041840553284,"1984","04","19"
"21",0.310699671506882,"1984","04","19"
"19",0.324149399995804,"1984","04","19"
"17",0.325178742408752,"1984","04","19"
"14",0.32287210226059,"1984","04","19"
"10",0.312630653381348,"1984","04","19"
"96",0.326117962598801,"1984","04","19"
"73",0.250946789979935,"1984","04","19"
"94",0.365650355815887,"1984","04","19"
"92",0.175295501947403,"1984","04","19"
"90",0.299511671066284,"1984","04","19"
"87",0.291360378265381,"1984","04","19"
"84",0.308761268854141,"1984","04","19"
"81",0.313489079475403,"1984","04","19"
"78",0.245556637644768,"1984","04","19"
"76",0.323903828859329,"1984","04","19"
"41",0.311361163854599,"1984","04","19"
"50",0.338305056095123,"1984","04","19"
"42",0.300431996583939,"1984","04","19"
"43",0.324966132640839,"1984","04","19"
"44",0.324966132640839,"1984","04","19"
"45",0.311255782842636,"1984","04","19"
"46",0.377580344676971,"1984","04","19"
"47",0.369661748409271,"1984","04","19"
"48",0.356677174568176,"1984","04","19"
"49",0.340862929821014,"1984","04","19"
"30",0.379044830799103,"1984","04","19"
"7",0.504659712314606,"1984","04","19"
"28",0.363603979349136,"1984","04","19"
"25",0.301164209842682,"1984","04","19"
"24",0.215612798929214,"1984","04","19"
"22",0.2745221555233,"1984","04","19"
"20",0.370640158653259,"1984","04","19"
"16",0.417302548885345,"1984","04","19"
"13",0.438152551651001,"1984","04","19"
"11",0.384601205587387,"1984","04","19"
"99",0.28923973441124,"1984","04","19"
"80",0.262981832027435,"1984","04","19"
"98",0.314532995223999,"1984","04","19"
"97",0.183365017175674,"1984","04","19"
