"","plot","year","integrated_ndvi","annual_mean","annual_median","winter_spring_mean","winter_spring_median","winter_spring_max","winter_spring_integrated","summer_mean","summer_median","summer_max","summer_integrated","n_winter_spring","n_summer","n_total"
"1","CM1",1985,105.460147081835,0.349205785039189,0.317886654966727,0.317107961326583,0.317034188973696,0.317841657279257,27.9055005967393,0.31562760704554,0.317216532924166,0.330504760248681,29.0377398481897,88,92,302
"2","CM1",1986,146.752548394662,0.402061776423733,0.385275252061616,0.46237004714491,0.473994711316852,0.487667764540169,69.8178771188814,0.367950278244773,0.368951761077189,0.38549357343776,33.8514255985191,151,92,365
"3","CM1",1987,141.200907209387,0.386851800573663,0.359530835432361,0.35365520604961,0.355214105276268,0.3611253780225,53.4019361134912,0.372429043870916,0.350718247599443,0.441679725417075,34.2634720361242,151,92,365
"4","CM1",1988,165.443643825531,0.45203181373096,0.432504831724956,0.46019122408791,0.456044808544532,0.543985347769004,69.9490660613624,0.396764155305927,0.399225781058547,0.416246660086787,36.5023022881453,152,92,366
"5","CM1",1989,159.719193336365,0.437586831058534,0.416626354709891,0.474768557445772,0.471398737513822,0.552311593537128,71.6900521743115,0.417329604913053,0.417932976083574,0.427057777895851,38.3943236520008,151,92,365
"6","CM1",1990,165.439506345341,0.453258921494086,0.456914009056263,0.465483183589077,0.468376152748051,0.48743349508568,70.2879607219507,0.430499505322425,0.425454375575376,0.461633177259829,39.6059544896631,151,92,365
"7","CM1",1991,163.979887201418,0.449259964935391,0.46240890270343,0.471032554269033,0.463464653232534,0.506606015420617,71.125915694624,0.374236729283411,0.369649131282102,0.449959254930123,34.4297790940738,151,92,365
"8","CM1",1992,157.242713209819,0.429624899480378,0.42103999796438,0.434556504090718,0.439176277875946,0.498424575589891,66.0525886217891,0.374849974898611,0.373372499705316,0.403665903964757,34.4861976906722,152,92,366
"9","CM1",1993,168.997535020022,0.463006945260333,0.483922850542474,0.507650947532466,0.493794978134831,0.555187736986886,76.6552930774024,0.384166731858526,0.381448946595407,0.428974878900842,35.3433393309844,151,92,365
"10","CM1",1994,156.914742391873,0.42990340381335,0.403700498175238,0.495925128795171,0.496147982362025,0.512738893023053,74.8846944480708,0.364315177339739,0.3619906267143,0.403700498175238,33.516996315256,151,92,365
"11","CM1",1995,137.506548602914,0.376730270144971,0.383101754172233,0.406608383248274,0.415249842279475,0.430984761255637,61.3978658704893,0.320273198520221,0.319334990579102,0.354534171052501,29.4651342638604,151,92,365
"12","CM1",1996,163.652341437991,0.447137544912543,0.441810209585191,0.450038177614752,0.450610829907295,0.497735135337467,68.4058029974424,0.397103117474989,0.389835040726552,0.443161335244791,36.533486807699,152,92,366
